iter	Accuracy	Logloss
64	0.847826087	0.396339881
65	0.845410628	0.3947960154
66	0.8466183575	0.3931993752
67	0.8490338164	0.3922820637
68	0.8490338164	0.391093699
69	0.8442028986	0.3888033498
70	0.8466183575	0.3875741882
71	0.8490338164	0.3870298238
72	0.8490338164	0.3859391504
73	0.847826087	0.3848415355
74	0.847826087	0.3834718839
75	0.8466183575	0.3819864512
76	0.8442028986	0.3795715066
77	0.8442028986	0.3785672843
78	0.8466183575	0.3775304946
79	0.8490338164	0.3760057294
80	0.8502415459	0.374564045
81	0.8538647343	0.3730641925
82	0.8490338164	0.3717010168
83	0.8514492754	0.3704982193
84	0.8514492754	0.3692586279
85	0.8526570048	0.3683894163
86	0.8526570048	0.3670961783
87	0.8550724638	0.3657278213
88	0.8574879227	0.3646044367
89	0.8574879227	0.3637628826
90	0.8599033816	0.3618607623
91	0.8599033816	0.3607313803
92	0.8599033816	0.3600093193
93	0.8586956522	0.3582239898
94	0.8586956522	0.3572250999
95	0.8586956522	0.3564416201
96	0.8586956522	0.3554109246
97	0.8586956522	0.3545781789
98	0.8586956522	0.3533485476
99	0.8611111111	0.3522812357
100	0.8586956522	0.3514199904
101	0.8599033816	0.3501860731
102	0.8599033816	0.349275722
103	0.8599033816	0.3486733576
104	0.86352657	0.3477644048
105	0.865942029	0.3469660987
106	0.8695652174	0.3456982452
107	0.8695652174	0.3447547923
108	0.8731884058	0.3437461934
109	0.8707729469	0.3430677763
110	0.8719806763	0.342469908
111	0.8719806763	0.3412145495
112	0.8743961353	0.3403276091
113	0.8768115942	0.3386652824
114	0.8756038647	0.3377928229
115	0.8756038647	0.3375208676
116	0.8756038647	0.336934837
117	0.8756038647	0.3362645549
118	0.8768115942	0.3356535735
119	0.8768115942	0.3343777118
120	0.8768115942	0.3340108412
121	0.8756038647	0.3326732542
122	0.8768115942	0.3314046358
123	0.8756038647	0.3310887857
124	0.8756038647	0.3303556423
125	0.8756038647	0.3300756845
126	0.8792270531	0.3291694038
127	0.8768115942	0.3281419383
128	0.8792270531	0.3277343995
129	0.8792270531	0.3261973561
130	0.8792270531	0.3252051609
131	0.8828502415	0.3244443468
132	0.8828502415	0.3240395602
133	0.8816425121	0.3237000614
134	0.8816425121	0.3226003301
135	0.8816425121	0.3205816077
136	0.8816425121	0.3199407806
137	0.8816425121	0.3192657921
138	0.8816425121	0.3187611601
139	0.8816425121	0.3176393229
140	0.8816425121	0.3171538324
141	0.8816425121	0.3169277635
142	0.8816425121	0.3159564161
143	0.8828502415	0.3150598085
144	0.8828502415	0.3143528452
145	0.8828502415	0.3136537587
146	0.8828502415	0.3132069995
147	0.8828502415	0.3125558996
148	0.8828502415	0.3115084918
149	0.8828502415	0.3102511627
150	0.8852657005	0.3087930384
151	0.88647343	0.3078674664
152	0.88647343	0.3069838897
153	0.88647343	0.3065866058
154	0.88647343	0.3058118535
155	0.8876811594	0.3050713441
156	0.8876811594	0.30400002
157	0.8888888889	0.3035389643
158	0.8888888889	0.3030428369
159	0.8876811594	0.3024119855
160	0.8876811594	0.3019962113
161	0.8876811594	0.3016101805
162	0.8913043478	0.3004782666
163	0.8900966184	0.2994442655
164	0.8876811594	0.2988471336
165	0.8913043478	0.2976105563
166	0.8937198068	0.296794772
167	0.8961352657	0.2961332727
168	0.8937198068	0.2953266294
169	0.8949275362	0.2941824961
170	0.8961352657	0.2936394928
171	0.8961352657	0.2930238599
172	0.9033816425	0.2922398379
173	0.8997584541	0.2912720734
174	0.9009661836	0.2909037749
175	0.9033816425	0.2901076975
176	0.8997584541	0.2894497574
177	0.902173913	0.2884357043
178	0.8997584541	0.2871414325
179	0.902173913	0.2867747233
180	0.9009661836	0.2859936983
181	0.902173913	0.2853756841
182	0.904589372	0.2843843638
183	0.904589372	0.2826407123
184	0.904589372	0.2819929851
185	0.9033816425	0.2811241556
186	0.904589372	0.280548827
187	0.904589372	0.2799969102
188	0.9033816425	0.279296077
189	0.9033816425	0.2779951429
190	0.9033816425	0.2777539918
191	0.9033816425	0.2773731809
192	0.9033816425	0.2766501917
193	0.9033816425	0.276214534
194	0.904589372	0.2750850344
195	0.9057971014	0.2743924172
196	0.9057971014	0.2735367283
197	0.9057971014	0.2731943878
198	0.9057971014	0.2724314363
199	0.9070048309	0.2718978177
200	0.9070048309	0.2715834616
201	0.9082125604	0.2708688155
202	0.9094202899	0.2705165792
203	0.9094202899	0.2694770288
204	0.9094202899	0.2683179694
205	0.9082125604	0.2679765499
206	0.9094202899	0.2667913567
207	0.9106280193	0.2659274351
208	0.9106280193	0.2655695454
209	0.9094202899	0.2646295255
210	0.9094202899	0.2643074208
211	0.9118357488	0.2637776795
212	0.9142512077	0.2631021142
213	0.9142512077	0.2627552044
214	0.9166666667	0.2620016206
215	0.9202898551	0.2610333719
216	0.9202898551	0.2599617516
217	0.9239130435	0.2589239896
218	0.9263285024	0.2582787402
219	0.9263285024	0.2579588849
220	0.9263285024	0.256429017
221	0.9263285024	0.2554083248
222	0.9251207729	0.2548687241
223	0.9275362319	0.2536709598
224	0.9311594203	0.2531535146
225	0.9311594203	0.2529687601
226	0.9299516908	0.2526463353
227	0.9335748792	0.2520402625
228	0.9335748792	0.2515765804
229	0.9347826087	0.2502618786
230	0.9347826087	0.2494205865
231	0.9347826087	0.2486775291
232	0.9347826087	0.2481674285
233	0.9359903382	0.2471582531
234	0.9359903382	0.2464450949
235	0.9359903382	0.2451182702
236	0.9359903382	0.2445471561
237	0.9359903382	0.2442898167
238	0.9359903382	0.2440409526
239	0.9359903382	0.2439549766
240	0.9371980676	0.2429404046
241	0.9396135266	0.2420018988
242	0.940821256	0.2416131273
243	0.940821256	0.2408741666
244	0.940821256	0.2402902774
245	0.940821256	0.2393294829
246	0.9420289855	0.2383964822
247	0.9420289855	0.2380822345
248	0.943236715	0.237786843
249	0.943236715	0.2372275553
250	0.943236715	0.2366906061
251	0.943236715	0.2360272879
252	0.943236715	0.2354020204
253	0.943236715	0.2347223281
254	0.9456521739	0.2342852476
255	0.9456521739	0.2342768886
256	0.943236715	0.2336125042
257	0.9468599034	0.2330162692
258	0.9468599034	0.2328208163
259	0.9468599034	0.2324905067
260	0.9468599034	0.2320086226
261	0.9468599034	0.2313675807
262	0.9468599034	0.2308518298
263	0.9468599034	0.2301216028
264	0.9468599034	0.2297122292
265	0.9456521739	0.2290736069
266	0.9468599034	0.2281817617
267	0.9468599034	0.2278362642
268	0.9480676329	0.2275582404
269	0.9468599034	0.227294295
270	0.9468599034	0.2270056346
271	0.9480676329	0.2262413172
272	0.9492753623	0.2252936608
273	0.9492753623	0.2245950316
274	0.9504830918	0.2241791846
275	0.9504830918	0.2239494666
276	0.9504830918	0.223427872
277	0.9516908213	0.222328944
278	0.9516908213	0.2217418815
279	0.9516908213	0.2209756661
280	0.9516908213	0.2204979098
281	0.9516908213	0.2199293567
282	0.9516908213	0.2196108125
283	0.9516908213	0.2190102492
284	0.9528985507	0.2180831994
285	0.9553140097	0.2168720687
286	0.9553140097	0.2158930822
287	0.9553140097	0.2150379984
288	0.9553140097	0.2143226137
289	0.9553140097	0.2136273907
290	0.9553140097	0.2135613946
291	0.9553140097	0.2127930775
292	0.9553140097	0.2118072732
293	0.9577294686	0.2113020475
294	0.9577294686	0.2109259502
295	0.9589371981	0.2102031327
296	0.9565217391	0.2098380544
297	0.9565217391	0.209239366
298	0.9565217391	0.2085782195
299	0.9565217391	0.2081202504
300	0.9577294686	0.2074297011
301	0.9601449275	0.2069774033
302	0.9601449275	0.2060864163
303	0.9601449275	0.2053876754
304	0.9601449275	0.2052621236
305	0.961352657	0.2048244427
306	0.961352657	0.2046692748
307	0.961352657	0.2040642838
308	0.961352657	0.203561477
309	0.961352657	0.2028494018
310	0.961352657	0.2020182589
311	0.9637681159	0.2008093336
312	0.9649758454	0.2005739052
313	0.9649758454	0.200453302
314	0.9649758454	0.2000881211
315	0.9649758454	0.1992493411
316	0.9649758454	0.1985562918
317	0.9649758454	0.1982633633
318	0.9649758454	0.1975883885
319	0.9649758454	0.1972885886
320	0.9649758454	0.1966134979
321	0.9649758454	0.1957214165
322	0.9649758454	0.1950532815
323	0.9649758454	0.1948694269
324	0.9649758454	0.1943187622
325	0.9649758454	0.1939920772
326	0.9649758454	0.1939326409
327	0.9649758454	0.1933097068
328	0.9649758454	0.1921109919
329	0.9661835749	0.1911395484
330	0.9673913043	0.1905212333
331	0.9685990338	0.1899520277
332	0.9698067633	0.1893286231
333	0.9698067633	0.1887298018
334	0.9698067633	0.1880323456
335	0.9710144928	0.1872950153
336	0.9710144928	0.1869000515
337	0.9710144928	0.1863716203
338	0.9710144928	0.1857880567
339	0.9710144928	0.1853023813
340	0.9710144928	0.1847538026
341	0.9710144928	0.1843690482
342	0.9734299517	0.1834085769
343	0.9722222222	0.1824439621
344	0.9734299517	0.1818832242
345	0.9734299517	0.1808588709
346	0.9734299517	0.1805426417
347	0.9734299517	0.1803654756
348	0.9734299517	0.1798614158
349	0.9734299517	0.1791708953
350	0.9734299517	0.178418415
351	0.9734299517	0.1780187136
352	0.9734299517	0.1778366714
353	0.9746376812	0.1769836224
354	0.9746376812	0.1762210328
355	0.9746376812	0.1758017331
356	0.9746376812	0.1753952956
357	0.9746376812	0.1753438133
358	0.9758454106	0.1745542458
359	0.9758454106	0.1735946938
360	0.9758454106	0.1730621459
361	0.9782608696	0.1721912916
362	0.9782608696	0.1716912079
363	0.9782608696	0.1711910088
364	0.9782608696	0.1709751271
365	0.9782608696	0.1701740143
366	0.979468599	0.1695195043
367	0.979468599	0.1691954388
368	0.979468599	0.1685368646
369	0.979468599	0.167692104
370	0.979468599	0.1670451451
371	0.979468599	0.166456342
372	0.979468599	0.166134334
373	0.979468599	0.1657464046
374	0.979468599	0.1650439666
375	0.979468599	0.1646167033
376	0.979468599	0.1637773698
377	0.9806763285	0.1630818941
378	0.979468599	0.1626798477
379	0.9806763285	0.1622031792
380	0.979468599	0.1613233529
381	0.9806763285	0.1609818048
382	0.9806763285	0.1607845964
383	0.981884058	0.1602971297
384	0.9830917874	0.1597931941
385	0.9830917874	0.1592237856
386	0.9830917874	0.158773043
387	0.9830917874	0.1583385898
388	0.9842995169	0.1578333808
389	0.9842995169	0.1576719587
390	0.9842995169	0.157330275
391	0.9830917874	0.1568346865
392	0.9842995169	0.1557453587
393	0.9830917874	0.1551697641
394	0.9842995169	0.1548262506
395	0.9842995169	0.1547607027
396	0.9842995169	0.153835705
397	0.9842995169	0.153411109
398	0.9842995169	0.1529639742
399	0.9855072464	0.1520798478
400	0.9867149758	0.1514782436
401	0.9867149758	0.1509324605
402	0.9867149758	0.1504136225
403	0.9867149758	0.1498691868
404	0.9867149758	0.1492037089
405	0.9867149758	0.1485982406
406	0.9867149758	0.1481482337
407	0.9867149758	0.1479219368
408	0.9867149758	0.1474163011
409	0.9867149758	0.1470418146
410	0.9867149758	0.1468409986
411	0.9867149758	0.1465052075
412	0.9867149758	0.1461439616
413	0.9867149758	0.1460513493
414	0.9867149758	0.1457933784
415	0.9879227053	0.1451481767
416	0.9879227053	0.1446097658
417	0.9879227053	0.1440122992
418	0.9879227053	0.1436388484
419	0.9879227053	0.1432616703
420	0.9879227053	0.1428520207
421	0.9879227053	0.1427095425
422	0.9879227053	0.1421996392
423	0.9879227053	0.1417919565
424	0.9879227053	0.1410138965
425	0.9879227053	0.140782708
426	0.9879227053	0.1403185009
427	0.9879227053	0.1400774334
428	0.9879227053	0.1397587565
429	0.9879227053	0.1392101043
430	0.9879227053	0.1389118458
431	0.9879227053	0.1383290696
432	0.9879227053	0.137772622
433	0.9879227053	0.1372603551
434	0.9891304348	0.1368228811
435	0.9891304348	0.1364531069
436	0.9891304348	0.1362646188
437	0.9891304348	0.1360682897
438	0.9891304348	0.1355406532
439	0.9891304348	0.1355112468
440	0.9891304348	0.1350703299
441	0.9891304348	0.1347001941
442	0.9891304348	0.1343517968
443	0.9891304348	0.1339916135
444	0.9891304348	0.133562964
445	0.9903381643	0.1331073599
446	0.9903381643	0.1326175366
447	0.9903381643	0.1324210291
448	0.9903381643	0.132194887
449	0.9903381643	0.1320307623
450	0.9903381643	0.1318117889
451	0.9903381643	0.1315282974
452	0.9903381643	0.1311267064
453	0.9915458937	0.1306983613
454	0.9915458937	0.1306262296
455	0.9915458937	0.1302158849
456	0.9915458937	0.1298898195
457	0.9939613527	0.1293956317
458	0.9939613527	0.1288118612
459	0.9939613527	0.1281671523
460	0.9939613527	0.127455974
461	0.9939613527	0.1274127018
462	0.9939613527	0.1270983599
463	0.9939613527	0.1268343462
464	0.9963768116	0.1264098596
465	0.9963768116	0.1262098624
466	0.9963768116	0.1258021501
467	0.9963768116	0.1254000242
468	0.9963768116	0.1251950799
469	0.9963768116	0.124990843
470	0.9963768116	0.1244674106
471	0.9963768116	0.1239876961
472	0.9963768116	0.1235004657
473	0.9963768116	0.1228910927
474	0.9963768116	0.1225626623
475	0.9963768116	0.1223572363
476	0.9963768116	0.1218946005
477	0.9963768116	0.1214581212
478	0.9963768116	0.121158017
479	0.9963768116	0.1204896072
480	0.9963768116	0.1202109589
481	0.9963768116	0.1197671455
482	0.9963768116	0.119396833
483	0.9963768116	0.1192208472
484	0.9963768116	0.1190312611
485	0.9963768116	0.118744231
486	0.9963768116	0.1185647398
487	0.9963768116	0.1183492329
488	0.9963768116	0.1180701171
489	0.9963768116	0.1175816532
490	0.9963768116	0.1171982362
491	0.9963768116	0.1169006573
492	0.9963768116	0.1165803938
493	0.9963768116	0.1160091211
494	0.9963768116	0.1158862058
495	0.9963768116	0.1155613949
496	0.9963768116	0.1153840952
497	0.9963768116	0.1151035021
498	0.9963768116	0.1149091548
499	0.9963768116	0.1145350077
